ID_SCENARIO,vento_medio,std_vento,zavorra,angolo_rampa,delay_secondi,SIM_N,ANGOLO_ACC_C6,INCLINAZIONE
V0_T0.15_Z40,0.0,0.0,40,0.0,2.05,8,,
V0_T0.15_Z40,0.0,0.0,40,0.0,2.05,9,,
V0_T0.15_Z40,0.0,0.0,40,0.0,2.05,10,,
V0_T0.15_Z60,0.0,0.0,60,0.0,2.35,1,,
V0_T0.15_Z60,0.0,0.0,60,0.0,2.35,2,,
V0_T0.15_Z60,0.0,0.0,60,0.0,2.35,3,,
V0_T0.15_Z60,0.0,0.0,60,0.0,2.35,4,,
V0_T0.15_Z60,0.0,0.0,60,0.0,2.35,5,,
V0_T0.15_Z60,0.0,0.0,60,0.0,2.35,6,,
V0_T0.15_Z60,0.0,0.0,60,0.0,2.35,7,,
V0_T0.15_Z60,0.0,0.0,60,0.0,2.35,8,,
V0_T0.15_Z60,0.0,0.0,60,0.0,2.35,9,,
V0_T0.15_Z60,0.0,0.0,60,0.0,2.35,10,,
V2.0_T0.05_Z0,2.0,0.1,0,-6.6,0.8,1,,
V2.0_T0.05_Z0,2.0,0.1,0,-6.6,0.8,2,,
V2.0_T0.05_Z0,2.0,0.1,0,-6.6,0.8,3,,
V2.0_T0.05_Z0,2.0,0.1,0,-6.6,0.8,4,,
V2.0_T0.05_Z0,2.0,0.1,0,-6.6,0.8,5,,
V2.0_T0.05_Z0,2.0,0.1,0,-6.6,0.8,6,,
V2.0_T0.05_Z0,2.0,0.1,0,-6.6,0.8,7,,
V2.0_T0.05_Z0,2.0,0.1,0,-6.6,0.8,8,,
V2.0_T0.05_Z0,2.0,0.1,0,-6.6,0.8,9,,
V2.0_T0.05_Z0,2.0,0.1,0,-6.6,0.8,10,,
V2.0_T0.05_Z20,2.0,0.1,20,-7.1,0.95,1,,
V2.0_T0.05_Z20,2.0,0.1,20,-7.1,0.95,2,,
V2.0_T0.05_Z20,2.0,0.1,20,-7.1,0.95,3,,
V2.0_T0.05_Z20,2.0,0.1,20,-7.1,0.95,4,,
V2.0_T0.05_Z20,2.0,0.1,20,-7.1,0.95,5,,
V2.0_T0.05_Z20,2.0,0.1,20,-7.1,0.95,6,,
V2.0_T0.05_Z20,2.0,0.1,20,-7.1,0.95,7,,
V2.0_T0.05_Z20,2.0,0.1,20,-7.1,0.95,8,,
V2.0_T0.05_Z20,2.0,0.1,20,-7.1,0.95,9,,
V2.0_T0.05_Z20,2.0,0.1,20,-7.1,0.95,10,,
V2.0_T0.05_Z40,2.0,0.1,40,-8.4,2.45,1,,
V2.0_T0.05_Z40,2.0,0.1,40,-8.4,2.45,2,,
V2.0_T0.05_Z40,2.0,0.1,40,-8.4,2.45,3,,
V2.0_T0.05_Z40,2.0,0.1,40,-8.4,2.45,4,,
V2.0_T0.05_Z40,2.0,0.1,40,-8.4,2.45,5,,
V2.0_T0.05_Z40,2.0,0.1,40,-8.4,2.45,6,,
V2.0_T0.05_Z40,2.0,0.1,40,-8.4,2.45,7,,
V2.0_T0.05_Z40,2.0,0.1,40,-8.4,2.45,8,,
V2.0_T0.05_Z40,2.0,0.1,40,-8.4,2.45,9,,
V2.0_T0.05_Z40,2.0,0.1,40,-8.4,2.45,10,,
V2.0_T0.05_Z60,2.0,0.1,60,-8.5,2.3,1,,
V2.0_T0.05_Z60,2.0,0.1,60,-8.5,2.3,2,,
V2.0_T0.05_Z60,2.0,0.1,60,-8.5,2.3,3,,
V2.0_T0.05_Z60,2.0,0.1,60,-8.5,2.3,4,,
V2.0_T0.05_Z60,2.0,0.1,60,-8.5,2.3,5,,
V2.0_T0.05_Z60,2.0,0.1,60,-8.5,2.3,6,,
V2.0_T0.05_Z60,2.0,0.1,60,-8.5,2.3,7,,
V2.0_T0.05_Z60,2.0,0.1,60,-8.5,2.3,8,,
V2.0_T0.05_Z60,2.0,0.1,60,-8.5,2.3,9,,
V2.0_T0.05_Z60,2.0,0.1,60,-8.5,2.3,10,,
V2.0_T0.15_Z0,2.0,0.3,0,-7.1,0.8,1,,
V2.0_T0.15_Z0,2.0,0.3,0,-7.1,0.8,2,,
V2.0_T0.15_Z0,2.0,0.3,0,-7.1,0.8,3,,
