vento_medio,std_vento,zavorra,delay_secondi,angolo_rampa,APOGEO_MISURATO,ANGOLO_ACC_C6
5.16,1.35,60,2.42,-15.52.00,166,63.5
2.18,0.4,60,1.52,-9.26.00,227,88.7
4.05,0.06,60,3.05,-17.21.00,167,64.3
4.13,0.27,60,1.24,-20.2,207,68.0
3.3,0.31,60,2.57,-10.59.00,184,66.9
1.16,0.14,60,2.52,-5.13.00,207,86.5
1.38,0.09,60,2.36,-5.42.00,211,88.7
2.01,0.42,60,2.22,-8.48.00,212,86.3
6.33,1.02,60,2.47,-24.02.00,172,61.7
3.02,0.15,60,1.59,-9.33.00,217,75.0
1.28,0.04,60,2.17,-3.13.00,207,74.7
5.37,1.31,60,1.15,-23.16.00,208,72.4
2.16,0.32,60,1.03,-8.05.00,236,87.0
3.38,0.57,60,1.9,-10.01.00,200,67.5
3.51,0.13,60,1.55,-15.11.00,223,82.4
6.24,1.44,60,1.32,-26.34.00,184,69.7
5.33,1.17,60,1.47,-21.03.00,212,87.5
2.26,0.26,60,2.22,-9.38.00,212,86.9
2.41,0.18,60,2.04,-11.34.00,211,78.3
0.02,0.0,60,2.34,0.0,212,"89,42"
5.05,0.3,60,2.01,-19.39.00,208,"79,11"
1.02,0.05,60,1.34,-2.23.00,230,"80,81"
0.27,0.06,60,2.06,-1.34.00,218,"87,7"
4.13,1.25,60,2.47,-14.06.00,192,"60,91"
0.17,0.03,60,2.3,0.0,212,"85,16"
4.5,0.11,60,2.23,-14.04.00,197,"72,2"
5.22,0.54,60,3.09,-23.15.00,142,"35,87"
5.48,0.1,60,1.41,-24.29.00,192,62.05.00
4.02,1.11,60,3.01,-18.21.00,147,50.57.00
1.37,0.01,60,1.24,-5.05.00,234,87.54.00
2.37,0.36,60,2.02,-11.16.00,212,80.07.00
